year,date,statefips,countyfips,ctfips,latitude,longitude,ds_o3_pred,ds_o3_stdd
2013,15JUN2013,12,12087,12087972600,24.54941,-81.79179,30.6551,5.9558
2013,15JUN2013,12,12087,12087972400,24.55265,-81.79997,30.3557,5.8979
2013,15JUN2013,12,12087,12087972300,24.55602,-81.79279,30.5221,5.8725
2013,15JUN2013,12,12087,12087972000,24.55621,-81.76469,30.487,5.936
2013,15JUN2013,12,12087,12087972200,24.55726,-81.78251,30.331,5.8599
2013,15JUN2013,12,12087,12087972500,24.56459,-82.0285,29.9221,5.8716
2013,15JUN2013,12,12087,12087972100,24.57235,-81.78296,29.9724,5.7981
2013,15JUN2013,12,12087,12087971900,24.57262,-81.75174,30.1793,5.8311
2013,15JUN2013,12,12087,12087971800,24.58431,-81.74028,30.0587,5.9424
2013,15JUN2013,12,12087,12087971700,24.58777,-81.68611,29.6173,5.8249
2013,15JUN2013,12,12087,12087980100,24.63057,-82.88652,30.1929,5.9123
2013,15JUN2013,12,12087,12087971600,24.64368,-81.57569,28.5476,5.6178
2013,15JUN2013,12,12087,12087971401,24.66783,-81.35738,28.1381,5.583
2013,15JUN2013,12,12087,12087971501,24.67897,-81.50178,28.0437,5.5133
2013,15JUN2013,12,12087,12087971502,24.70117,-81.43447,27.6838,5.5342
2013,15JUN2013,12,12087,12087971300,24.70156,-81.10151,28.0926,5.4477
2013,15JUN2013,12,12087,12087971200,24.70733,-81.079,28.1628,5.4608
2013,15JUN2013,12,12087,12087971402,24.71772,-81.34519,27.4267,5.4247
2013,15JUN2013,12,12087,12087971100,24.72785,-81.04803,27.7519,5.2674
2013,15JUN2013,12,12087,12087971001,24.73611,-81.002,27.8221,5.2989
2013,15JUN2013,12,12087,12087971002,24.79364,-80.87312,26.8057,5.158
2013,15JUN2013,12,12087,12087970900,24.90654,-80.66353,26.0544,4.9304
2013,15JUN2013,12,12087,12087970800,24.97615,-80.55987,25.8852,4.7321
2013,15JUN2013,12,12087,12087970700,25.01759,-80.51426,25.8169,4.7175
2013,15JUN2013,12,12087,12087970600,25.05795,-80.47629,26.1577,4.5906
2013,15JUN2013,12,12087,12087970500,25.08928,-80.44142,26.6011,4.6908
2013,15JUN2013,12,12087,12087970400,25.12046,-80.4126,27.0139,4.6378
2013,15JUN2013,12,12087,12087970300,25.15725,-80.37818,27.5643,4.504
2013,15JUN2013,12,12087,12087970200,25.25985,-80.32549,29.296,4.4968
2013,15JUN2013,12,12086,12086011404,25.29854,-80.64961,20.747,3.9935
2013,15JUN2013,12,12086,12086011401,25.38095,-80.40041,27.754,4.0807
2013,15JUN2013,12,12086,12086980100,25.41688,-80.2182,33.7397,4.2252
2013,15JUN2013,12,12086,12086011403,25.44786,-80.49152,24.3654,3.6613
2013,15JUN2013,12,12086,12086011300,25.46557,-80.4856,24.5271,3.8098
2013,15JUN2013,12,12086,12086011007,25.46952,-80.43224,26.7773,3.6809
2013,15JUN2013,12,12086,12086011101,25.47283,-80.46975,25.0581,3.7422
2013,15JUN2013,12,12086,12086011001,25.47848,-80.45514,25.7675,3.6142
2013,15JUN2013,12,12086,12086011009,25.48329,-80.42429,27.0103,3.6606
2013,15JUN2013,12,12086,12086011003,25.48542,-80.44281,26.2891,3.6754
2013,15JUN2013,12,12086,12086011202,25.48564,-80.48546,24.4805,3.6792
2013,15JUN2013,12,12086,12086011008,25.48858,-80.41479,27.4574,3.6636
2013,15JUN2013,12,12086,12086011005,25.49105,-80.42788,26.8563,3.6421
2013,15JUN2013,12,12086,12086980700,25.49347,-80.39111,28.4287,3.6694
2013,15JUN2013,12,12086,12086011201,25.49385,-80.49718,24.0772,3.6615
2013,15JUN2013,12,12086,12086010900,25.49696,-80.43964,26.3073,3.6455
2013,15JUN2013,12,12086,12086010704,25.49972,-80.36706,29.5626,3.6801
2013,15JUN2013,12,12086,12086011102,25.50143,-80.46119,25.474,3.6417
2013,15JUN2013,12,12086,12086010801,25.50465,-80.42281,26.9711,3.5331
2013,15JUN2013,12,12087,12087980000,25.51092,-81.04069,19.0912,3.9223
2013,15JUN2013,12,12086,12086010802,25.51696,-80.42285,27.0264,3.6661
2013,15JUN2013,12,12086,12086010703,25.5295,-80.39736,28.103,3.5261
2013,15JUN2013,12,12086,12086980600,25.54643,-80.32778,31.0196,3.4518
2013,15JUN2013,12,12086,12086010500,25.54976,-80.38509,28.742,3.5968
2013,15JUN2013,12,12086,12086010400,25.55028,-80.41318,27.3793,3.4647
