year,date,statefips,countyfips,ctfips,latitude,longitude,ds_pm_pred,ds_pm_stdd
2013,15JUN2013,12,12087,12087972600,24.54941,-81.79179,5.0535,1.6741
2013,15JUN2013,12,12087,12087972400,24.55265,-81.79997,5.0109,1.6142
2013,15JUN2013,12,12087,12087972300,24.55602,-81.79279,4.9838,1.6708
2013,15JUN2013,12,12087,12087972000,24.55621,-81.76469,5.0893,1.6503
2013,15JUN2013,12,12087,12087972200,24.55726,-81.78251,5.0226,1.6537
2013,15JUN2013,12,12087,12087972500,24.56459,-82.0285,4.7921,1.623
2013,15JUN2013,12,12087,12087972100,24.57235,-81.78296,5.0289,1.6252
2013,15JUN2013,12,12087,12087971900,24.57262,-81.75174,5.0583,1.6625
2013,15JUN2013,12,12087,12087971800,24.58431,-81.74028,5.0704,1.6332
2013,15JUN2013,12,12087,12087971700,24.58777,-81.68611,5.1557,1.6318
2013,15JUN2013,12,12087,12087980100,24.63057,-82.88652,4.4847,1.5316
2013,15JUN2013,12,12087,12087971600,24.64368,-81.57569,5.2292,1.6864
2013,15JUN2013,12,12087,12087971401,24.66783,-81.35738,5.4696,1.7463
2013,15JUN2013,12,12087,12087971501,24.67897,-81.50178,5.3022,1.7727
2013,15JUN2013,12,12087,12087971502,24.70117,-81.43447,5.3401,1.6945
2013,15JUN2013,12,12087,12087971300,24.70156,-81.10151,5.4964,1.7518
2013,15JUN2013,12,12087,12087971200,24.70733,-81.079,5.5449,1.7598
2013,15JUN2013,12,12087,12087971402,24.71772,-81.34519,5.4306,1.7355
2013,15JUN2013,12,12087,12087971100,24.72785,-81.04803,5.5156,1.6558
2013,15JUN2013,12,12087,12087971001,24.73611,-81.002,5.623,1.7516
2013,15JUN2013,12,12087,12087971002,24.79364,-80.87312,5.5942,1.7428
2013,15JUN2013,12,12087,12087970900,24.90654,-80.66353,5.8034,1.6993
2013,15JUN2013,12,12087,12087970800,24.97615,-80.55987,5.9079,1.6611
2013,15JUN2013,12,12087,12087970700,25.01759,-80.51426,5.9728,1.6596
2013,15JUN2013,12,12087,12087970600,25.05795,-80.47629,6.0144,1.7186
2013,15JUN2013,12,12087,12087970500,25.08928,-80.44142,6.1644,1.7064
2013,15JUN2013,12,12087,12087970400,25.12046,-80.4126,6.2307,1.7118
2013,15JUN2013,12,12087,12087970300,25.15725,-80.37818,6.2909,1.6796
2013,15JUN2013,12,12087,12087970200,25.25985,-80.32549,6.6742,1.7151
2013,15JUN2013,12,12086,12086011404,25.29854,-80.64961,6.1473,1.5405
2013,15JUN2013,12,12086,12086011401,25.38095,-80.40041,7.1918,1.6304
2013,15JUN2013,12,12086,12086980100,25.41688,-80.2182,7.4621,1.7724
2013,15JUN2013,12,12086,12086011403,25.44786,-80.49152,7.3067,1.5526
2013,15JUN2013,12,12086,12086011300,25.46557,-80.4856,7.5033,1.5673
2013,15JUN2013,12,12086,12086011007,25.46952,-80.43224,7.6278,1.6271
2013,15JUN2013,12,12086,12086011101,25.47283,-80.46975,7.5609,1.5756
2013,15JUN2013,12,12086,12086011001,25.47848,-80.45514,7.6136,1.6063
2013,15JUN2013,12,12086,12086011009,25.48329,-80.42429,7.6826,1.6454
2013,15JUN2013,12,12086,12086011003,25.48542,-80.44281,7.6999,1.6707
2013,15JUN2013,12,12086,12086011202,25.48564,-80.48546,7.5109,1.5849
2013,15JUN2013,12,12086,12086011008,25.48858,-80.41479,7.7554,1.7094
2013,15JUN2013,12,12086,12086011005,25.49105,-80.42788,7.664,1.6539
2013,15JUN2013,12,12086,12086980700,25.49347,-80.39111,7.7869,1.6805
2013,15JUN2013,12,12086,12086011201,25.49385,-80.49718,7.4274,1.5809
2013,15JUN2013,12,12086,12086010900,25.49696,-80.43964,7.6918,1.6722
2013,15JUN2013,12,12086,12086010704,25.49972,-80.36706,7.8304,1.723
2013,15JUN2013,12,12086,12086011102,25.50143,-80.46119,7.6814,1.6592
2013,15JUN2013,12,12086,12086010801,25.50465,-80.42281,7.7519,1.6904
2013,15JUN2013,12,12087,12087980000,25.51092,-81.04069,5.9891,1.6964
2013,15JUN2013,12,12086,12086010802,25.51696,-80.42285,7.8079,1.647
2013,15JUN2013,12,12086,12086010703,25.5295,-80.39736,7.8937,1.769
2013,15JUN2013,12,12086,12086980600,25.54643,-80.32778,8.0476,1.7597
2013,15JUN2013,12,12086,12086010500,25.54976,-80.38509,7.975,1.7531
